Rk,Player,AV,Sk,Def%,PD,Season,Age,Team,G,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,STSnp,ST %,Pos
112,Demario Davis,14,4,92.7,12,2019,30,NOR,16,16,4,87,24,111,11,9,1,1,0,12,0,0,984,10,2.2,LLB
113,Demario Davis,14,4,98.7,5,2020,31,NOR,16,16,4,73,46,119,10,12,0,0,0,5,0,0,1032,6,1.3,MLB
114,Lavonte David,14,1.5,99.3,6,2020,30,TAM,16,16,1.5,82,35,117,12,3,1,-5,0,6,0,0,1056,17,3.7,RILB
115,Aaron Donald,14,12.5,83.6,2,2019,28,LAR,16,16,12.5,29,19,48,20,24,0,0,0,2,0,0,926,76,16.5,RDE
116,Tremaine Edmunds,14,1.5,94.7,9,2019,21,BUF,16,16,1.5,66,49,115,10,4,1,0,0,9,0,0,981,61,14.7,MLB
117,Minkah Fitzpatrick,14,0,99.1,11,2020,24,PIT,16,16,0,60,19,79,1,0,4,77,1,11,12,1.1,1020,63,13.8,FS
118,Sauce Gardner,14,0,98,20,2022,22,NYJ,17,17,0,51,24,75,3,1,2,19,0,20,0,0,1115,92,20,RCB
119,Myles Garrett,14,13.5,86,3,2018,23,CLE,16,16,13.5,35,9,44,12,29,0,0,0,3,0,0,1012,82,17.6,LDE
120,Lawrence Guy,14,3,51.9,1,2019,29,NWE,16,16,3,35,26,61,5,5,1,5,0,1,0,0,523,168,37.6,LDE
121,Derrick Johnson,14,4,97.6,8,2015,33,KAN,16,16,4,95,21,116,8,5,2,23,0,8,0,0,1060,1,0.2,LILB
122,Matt Judon,14,12.5,81.3,1,2021,29,NWE,17,16,12.5,38,22,60,14,25,0,0,0,1,0,0,877,115,26.2,LOLB
123,Luke Kuechly,14,2,93.1,6,2018,27,CAR,16,16,2,93,37,130,20,5,1,0,0,6,0,0,928,71,17,MLB
124,DeMarcus Lawrence,14,14.5,67.1,1,2017,25,DAL,16,16,14.5,35,23,58,14,26,0,0,0,1,0,0,701,67,15.9,LDE
125,Shaquille Leonard,14,3,79.9,7,2020,25,IND,14,14,3,86,46,132,7,3,0,0,0,7,0,0,825,50,11.3,LLB
126,Khalil Mack,14,9,83.5,3,2020,29,CHI,16,16,9,29,21,50,11,13,1,33,0,3,0,0,894,11,2.4,LOLB
127,Benardrick McKinney,14,5,90.6,2,2016,24,HOU,16,16,5,79,50,129,8,11,0,0,0,2,0,0,915,79,17.7,RILB
128,Whitney Mercilus,14,7.5,86,1,2016,26,HOU,15,15,7.5,36,17,53,13,22,0,0,0,1,0,0,869,98,21.9,LOLB
129,C.J. Mosley,14,3,98.6,8,2014,22,BAL,16,16,3,88,45,133,8,12,2,23,0,8,0,0,1066,61,13.6,LILB
130,Marcus Peters,14,0,47.2,14,2019,26,LARBAL,16,15,0,40,13,53,1,0,5,210,3,14,0,0,986,3,0.3,LCB
131,Jalen Ramsey,14,0,89.2,16,2021,27,LAR,16,16,0,62,15,77,9,1,4,41,0,16,0,0,1037,60,13,RCB
132,Kawann Short,14,11,69,4,2015,26,CAR,16,16,11,36,19,55,16,18,0,0,0,4,0,0,759,64,13.4,RDT
133,Jeffery Simmons,14,8.5,85,6,2021,24,TEN,17,17,8.5,42,12,54,12,16,0,0,0,6,0,0,932,89,19.4,DT
134,Jeffery Simmons,14,7.5,71.9,7,2022,25,TEN,15,15,7.5,25,29,54,9,14,0,0,0,7,0,0,840,69,15.4,DT
135,Darius Slay,14,0,97.7,26,2017,26,DET,16,16,0,54,6,60,1,0,8,73,0,26,0,0,1064,83,17.6,LCB
136,Roquan Smith,14,4,94.9,7,2020,23,CHI,16,16,4,98,41,139,18,6,2,16,0,7,0,0,1016,10,2.2,LILB
137,Telvin Smith,14,1,81.7,5,2017,26,JAX,14,14,1,76,26,102,12,2,3,56,1,5,0,0,846,66,13.6,LLB
138,Za'Darius Smith,14,12.5,83.5,2,2020,28,GNB,16,16,12.5,35,17,52,12,23,0,0,0,2,0,0,858,22,5.1,ROLB
139,Patrick Surtain II,14,0,96.7,10,2022,22,DEN,17,17,0,46,14,60,2,1,2,-3,0,10,0,0,1106,11,2.3,LCB
140,Earl Thomas,14,0,97.9,5,2014,25,SEA,16,16,0,71,26,97,1,0,1,47,0,5,0,0,958,67,15.5,FS
141,Olivier Vernon,14,8.5,93.7,0,2016,26,NYG,16,16,8.5,46,18,64,17,23,0,0,0,0,0,0,1040,24,5.3,RDE
142,Bobby Wagner,14,0.5,90.9,7,2015,25,SEA,15,15,0.5,67,47,114,2,4,0,0,0,7,0,0,905,39,8.8,MLB
143,Bobby Wagner,14,3,98.3,6,2019,29,SEA,16,16,3,86,73,159,7,4,1,6,0,6,0,0,1054,83,18.2,MLB
144,Bobby Wagner,14,3,99.1,8,2020,30,SEA,16,16,3,81,57,138,7,11,0,0,0,8,0,0,1142,89,19.7,RILB
145,T.J. Watt,14,14.5,86.3,8,2019,25,PIT,16,16,14.5,35,20,55,14,36,2,7,0,8,0,0,935,57,13.4,LOLB
146,Devin White,14,9,93.2,4,2020,22,TAM,15,15,9,97,43,140,15,16,0,0,0,4,0,0,991,71,15.4,LILB
147,Chase Young,14,7.5,73.7,4,2020,21,WAS,15,15,7.5,32,12,44,10,12,0,0,0,4,0,0,770,4,0.9,LDE
148,Mark Barron,13,1,76.8,4,2017,28,LAR,14,14,1,73,13,86,7,2,3,29,0,4,0,0,825,4,0.8,DB
149,Shaquil Barrett,13,19.5,78.7,2,2019,27,TAM,16,16,19.5,45,13,58,19,37,1,4,0,2,0,0,889,66,13.6,ROLB
150,Eric Berry,13,0,97.2,9,2016,28,KAN,16,16,0,62,15,77,2,0,4,98,2,9,0,0,1084,0,0,SS
151,DaRon Bland,13,0,90.3,15,2023,24,DAL,17,15,0,53,16,69,3,1,9,209,5,15,0,0,966,30,6.8,CB
152,Joey Bosa,13,12.5,81.2,1,2017,22,LAC,16,16,12.5,54,16,70,11,21,0,0,0,1,0,0,851,2,0.5,LDE
153,Kevin Byard,13,1,96.4,13,2021,28,TEN,17,17,1,57,31,88,1,4,5,66,1,13,0,0,1057,4,0.9,SS
154,Calais Campbell,13,10.5,79.7,2,2018,32,JAX,16,16,10.5,53,19,72,20,22,0,0,0,2,0,0,816,136,31.8,RDE
155,Jeremy Chinn,13,1,93.5,5,2021,23,CAR,16,16,1,75,32,107,6,5,1,0,0,5,0,0,1017,106,23.5,FS
156,Fletcher Cox,13,4,79.6,0,2014,24,PHI,16,16,4,48,13,61,8,7,0,0,0,0,0,0,926,12,2.3,LDE
157,Fletcher Cox,13,9.5,81,2,2015,25,PHI,16,16,9.5,50,21,71,11,20,0,0,0,2,0,0,983,5,1,LDE
158,Maxx Crosby,13,8,79.9,7,2021,24,LVR,17,17,8,36,20,56,13,30,0,0,0,7,0,0,925,91,19.1,RDE
159,Lavonte David,13,5,98.1,4,2016,26,TAM,16,16,5,67,20,87,17,8,1,15,1,4,0,0,1042,70,15.9,RLB
160,Carlos Dunlap,13,13.5,81.1,1,2015,26,CIN,16,16,13.5,37,18,55,16,34,0,0,0,1,0,0,880,59,13.3,LDE
161,Sauce Gardner,13,0,92.4,11,2023,23,NYJ,16,16,0,41,16,57,2,0,0,0,0,11,0,0,1051,10,2.1,CB
162,Myles Garrett,13,16,75,4,2022,27,CLE,16,15,16,37,23,60,18,26,0,0,0,4,0,0,817,56,12.6,LDE
163,Brandon Graham,13,5.5,75,1,2016,28,PHI,16,16,5.5,41,18,59,14,22,0,0,0,1,0,0,764,74,16.9,LDE
164,Everson Griffen,13,8,85.8,1,2016,29,MIN,16,16,8,36,12,48,9,22,0,0,0,1,0,0,888,65,15.2,RDE
165,Kyle Hamilton,13,3,81,13,2023,22,BAL,15,15,3,63,18,81,10,4,4,25,1,13,0,0,937,66,14,S
166,Chris Harris Jr.,13,0,97,6,2015,26,DEN,16,16,0,49,9,58,4,0,2,94,1,6,0,0,1063,70,15,RCB
167,Casey Hayward,13,0,95.7,22,2017,28,LAC,16,16,0,33,7,40,2,0,4,7,0,22,0,0,1003,7,1.6,LCB
168,Akiem Hicks,13,7.5,74.1,5,2018,29,CHI,16,16,7.5,41,14,55,12,16,0,0,0,5,3,0.3,780,24,5.6,LDE
